"Team","Rating"
"brazil",2084.79120793214
"thailand",2033.648378285
"china",1857.31934522517
"netherlands",1845.01982042664
"pakistan",1829.81991788348
"panama",1806.51854191154
"peru",1737.44120209926
"uk",1731.40562517776
"france",1625.53757759792
"guatemala",1613.93049718398
"serbia",1592.06695993978
"morocco",1577.20055270591
"india",1555.03204013986
"new_zealand",1512.35341192501
"south_korea",1498.59740017616
"germany",1493.84313631574
"iceland",1489.3021169231
"ethiopia",1447.42733744523
"mexico",1426.7816698889
"philippines",1356.35112699942
"indonesia",1309.57620389534
"singapore",1270.84409916969
"saudi_arabia",1201.16349142566
"canada",1156.88388000814
"vietnam",1155.86437557527
"usa",1148.97186644672
"oman",1136.69483005483
"switzerland",1124.37251055602
"uae",975.072693118438
"kazakhstan",931.45245459064
"rwanda",918.54234010202
"mongolia",828.953275568683
